project name,package type,purpose,new technology,DOE factor,DOE result,best pecipe setting,engineer insight(lesson learned)
Orion_FCBGA_RnD_001,FC-BGA,Reduce package warpage during post-mold cure for AI processor package,Low CTE mold compound with thin-core substrate,"Mold cure temp: 165/175/185 C; Mold cure time: 120/150/180 min; Substrate thickness: 180/220/260 um",Strip warpage improved from 162 um to 58 um at room temperature,"Mold cure 175 C x 150 min; substrate 220 um; clamp 60 s",Warpage was dominated by mold-compound and core-thickness interaction so material screening alone was not enough.
Nova_FCCSP_RnD_002,FC-CSP,Optimize capillary underfill flow and fillet shape for flip-chip mobile application,Low-viscosity no-bleed underfill,"Underfill dispense temp: 70/80/90 C; Needle height: 60/80/100 um; Substrate preheat: 90/110/130 C",Underfill void rate decreased from 3.8% to 0.4%,"Dispense temp 80 C; needle 80 um; preheat 110 C; speed 10 mm/s",Preheat and dispense temperature showed strong interaction because they jointly control viscosity at the flow front.
Apex_QFN_RnD_003,QFN,Reduce die attach voiding and improve thermal path in power management IC package,Silver sinter die attach for high-power density device,"Sinter pressure: 8/12/16 MPa; Sinter temp: 220/240/260 C; Paste thickness: 20/30/40 um",Junction-to-case thermal resistance improved from 1.82 C/W to 1.35 C/W,"Pressure 12 MPa; sinter 240 C; paste 30 um; pre-dry 10 min",The best thermal result came from balancing bond-line thickness and void control rather than minimizing thickness alone.
Vertex_WLCSP_RnD_004,WLCSP,Improve solder joint reliability after board-level temperature cycling,Cu pillar bump with NiPdAu finish,"Reflow peak temp: 235/240/245 C; UBM thickness: 3/5/7 um; Cu pillar height: 22/26/30 um",TCB first-failure cycle improved from 420 cycles to 760 cycles,"Peak 240 C; soak 90 s; UBM 5 um; Cu pillar 26 um",Metallurgy stack and bump geometry interacted strongly so solder profile tuning alone could not close the reliability gap.
Helios_25DSiP_RnD_005,2.5D SiP,Improve micro-bump bonding yield for high-bandwidth memory integration,Thermo-compression bonding for fine-pitch micro-bump,"Bond temp: 250/265/280 C; Bond force: 20/30/40 N; Flux amount: 0.6/0.8/1.0 mg",Micro-bump non-open yield improved from 94.2% to 99.1%,"Bond 265 C; force 30 N; hold 5 s; flux 0.8 mg",The process window was mainly limited by flux residue and alignment drift not by bonding temperature alone.
Falcon_FOWLP_RnD_006,FO-WLP,Reduce RDL crack and improve mechanical integrity after thermal cycling,Photosensitive polyimide with low-stress Cu plating stack,"PI cure temp: 200/220/240 C; Cu plating thickness: 8/10/12 um; Panel debond temp: 120/140/160 C",RDL crack occurrence reduced from 14/40 panels to 2/40 panels,"PI cure 220 C; Cu 10 um; seed etch 60 s; debond 140 C",The lowest crack rate came from stress balancing across the dielectric and Cu stack rather than using the thickest metal option.
Zenith_BGA_RnD_007,BGA,Lower head-in-pillow and non-wet opens for fine-pitch server package assembly,Vacuum reflow with low-oxidation solder paste,"Peak temp: 240/245/250 C; Time above liquidus: 45/60/75 s; Vacuum level: 20/40/60 mbar",NWO defect rate reduced from 1850 ppm to 220 ppm,"Peak 245 C; TAL 60 s; vacuum 40 mbar; deposit 100%",Vacuum level improved wetting consistency but excessive TAL started to widen IMC and reduce margin.
Atlas_AutomotiveQFN_RnD_008,Automotive QFN,Improve MSL3 and uHAST reliability for automotive grade package,High Tg epoxy mold compound with plasma-enhanced leadframe cleaning,"Plasma power: 300/450/600 W; Plasma time: 30/45/60 s; Post mold cure: 175/180/185 C",uHAST pass rate improved from 86.0% to 98.0%,"Plasma 450 W x 45 s; gel 22 s; PMC 180 C",Surface preparation contributed more to uHAST performance than small changes in post-mold cure temperature.
Orion_FCBGA_RnD_009,FC-BGA,Reduce package warpage during post-mold cure for AI processor package,Low CTE mold compound with thin-core substrate,"Mold cure time: 120/150/180 min; Substrate thickness: 180/220/260 um; Post mold clamp time: 30/60/90 s",Coplanarity pass rate improved from 91.8% to 98.6%,"Mold cure 175 C x 180 min; substrate 220 um; clamp 90 s",The flattest profile came from mid-level cure conditions rather than the highest cure temperature.
Nova_FCCSP_RnD_010,FC-CSP,Optimize capillary underfill flow and fillet shape for flip-chip mobile application,Low-viscosity no-bleed underfill,"Needle height: 60/80/100 um; Substrate preheat: 90/110/130 C; Dispense speed: 8/10/12 mm/s",Flow completion time reduced from 21.5 s to 14.2 s,"Dispense temp 90 C; needle 60 um; preheat 110 C; speed 8 mm/s",Fast flow alone was not the right target and stable fillet geometry was the better predictor for reliability.
